epsilon,abs_dev,dro
25.0,39.19999991947716,66.58
75.0,117.59999902273107,37.24
125.0,194.10696737730441,29.98
250.0,199.12094567416804,29.53
375.0,199.1212378209722,29.53
500.0,199.12281121059328,29.53
25.0,39.19999988739447,66.52
75.0,117.59999879291854,37.269999999999996
125.0,189.7217157656999,30.630000000000003
250.0,190.79387276755077,30.580000000000002
375.0,190.79355228071938,30.580000000000002
500.0,190.79444116480352,30.580000000000002
25.0,39.19999989905464,66.52
75.0,117.59999920254901,37.25
125.0,193.1094780032825,30.2
250.0,196.57958958844677,29.959999999999997
375.0,196.57854724938684,29.959999999999997
500.0,196.58083631134065,29.959999999999997
25.0,39.19999989797669,66.53
75.0,117.5999991941867,37.31
125.0,187.0685679556212,30.81
250.0,187.47620854836546,30.8
375.0,187.47564904711888,30.8
500.0,187.47722777065206,30.8
25.0,39.19999985901275,66.53999999999999
75.0,117.59999910115167,37.230000000000004
125.0,191.69809506112944,30.39
250.0,193.81450932336688,30.240000000000002
375.0,193.81398046399372,30.240000000000002
500.0,193.81543638194978,30.240000000000002
25.0,39.19999990203567,66.53
75.0,117.59999891884071,37.29
125.0,183.66159358626663,31.2
250.0,183.80941163435003,31.209999999999997
375.0,183.81015715133023,31.209999999999997
500.0,183.81076057414845,31.209999999999997
25.0,39.199999901955195,66.57
75.0,117.59999899835456,37.28
125.0,179.63609206433742,31.53
250.0,179.73162549082454,31.540000000000003
375.0,179.73234754840715,31.540000000000003
500.0,179.73262767684074,31.540000000000003
25.0,39.1999998951371,66.59
75.0,117.59999871171615,37.4
125.0,175.11266287397788,31.730000000000004
250.0,175.159535615851,31.730000000000004
375.0,175.16015945832555,31.730000000000004
500.0,175.15979959192126,31.730000000000004
25.0,39.19999987620669,66.59
75.0,117.59999883539946,37.4
125.0,169.9879069425977,32.18
250.0,169.9858767600836,32.18
375.0,169.98710451437685,32.18
500.0,169.9864873053586,32.18
25.0,39.199999888758754,66.69
75.0,117.59999870263569,37.45
125.0,164.06645174665871,32.83
250.0,164.06537781705654,32.83
375.0,164.06607103064852,32.83
500.0,164.06644252559565,32.83
25.0,39.19999987437803,66.73
75.0,117.59999875919347,37.47
125.0,157.20545829256562,33.52
250.0,157.20452099256596,33.52
375.0,157.2045171537666,33.52
500.0,157.20415413564044,33.52
25.0,39.19999986805872,66.9
75.0,117.59999866322578,37.54
125.0,149.1274356638226,34.239999999999995
250.0,149.12653005986755,34.239999999999995
375.0,149.12685017810782,34.239999999999995
500.0,149.7311247498454,34.17
25.0,39.19999984659975,66.97
75.0,117.59999774209572,37.71
125.0,139.43216164694243,35.53
250.0,139.43134751169154,35.53
375.0,139.7535789038994,35.5
500.0,146.16346626696554,34.63
25.0,39.19999984570241,67.15
75.0,117.20301383204253,38.01
125.0,127.48320518859198,36.78
250.0,127.48251057563303,36.78
375.0,130.33901121793656,36.47
500.0,152.85311885198303,33.300000000000004
25.0,39.19999982564552,67.45
